2026-03-27 11:17:04 | INFO     | __main__ | ==================================================
2026-03-27 11:17:04 | INFO     | __main__ | 办公小工具整合平台 启动
2026-03-27 11:17:04 | INFO     | __main__ | ==================================================
2026-03-27 11:17:04 | INFO     | src.core.app_context | 开始初始化 AppContext...
2026-03-27 11:17:04 | INFO     | src.storage.database | 数据库引擎创建: data/app.db
2026-03-27 11:17:04 | INFO     | src.storage.database | 数据库表创建完成: data/app.db
2026-03-27 11:17:04 | INFO     | src.core.app_context | 数据库初始化完成: data/app.db
2026-03-27 11:17:04 | INFO     | src.core.app_context | AppContext 初始化完成
2026-03-27 11:17:04 | INFO     | __main__ | AppContext 初始化完成
2026-03-27 11:17:04 | INFO     | src.core.plugin_manager | 发现插件: test_widgets v1.0.0 (plugins/test_widgets)
2026-03-27 11:17:04 | INFO     | src.core.plugin_manager | 发现插件: text_processing v1.0.0 (plugins/text_processing)
2026-03-27 11:17:04 | INFO     | __main__ | 发现 2 个插件: ['test_widgets', 'text_processing']
2026-03-27 11:17:04 | INFO     | src.core.permission_manager | 批量授权: 插件 'test_widgets' 获得权限: ['node.register']
2026-03-27 11:17:04 | INFO     | src.core.plugin_manager | 插件 'test_widgets' 获得权限: ['node.register']
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.text_input '文本输入测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.text_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.multi_text_input '多文本输入测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.multi_text_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.integer_input '整数输入测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.integer_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.float_input '浮点数输入测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.float_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.boolean_input '布尔值输入测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.boolean_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.dropdown_input '下拉选择测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.dropdown_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.file_input '文件选择测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.file_input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.output_preview '输出预览测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.output_preview
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.data_source '数据源'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.data_source
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.string_processor '字符串处理'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.string_processor
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.math_calculator '数学计算'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.math_calculator
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: test.comprehensive '综合测试'
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 注册测试节点: test.comprehensive
2026-03-27 11:17:04 | INFO     | plugins.test_widgets | 共注册 12 个测试节点
2026-03-27 11:17:04 | INFO     | src.core.plugin_manager | 插件加载成功: test_widgets
2026-03-27 11:17:04 | INFO     | __main__ | 插件加载成功: test_widgets
2026-03-27 11:17:04 | INFO     | src.core.permission_manager | 批量授权: 插件 'text_processing' 获得权限: ['node.register']
2026-03-27 11:17:04 | INFO     | src.core.plugin_manager | 插件 'text_processing' 获得权限: ['node.register']
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: text.input '文本输入'
2026-03-27 11:17:04 | INFO     | plugins.text_processing | 注册节点: text.input
2026-03-27 11:17:04 | INFO     | src.engine.node_engine | 注册节点类型: text.join '文本拼接'
2026-03-27 11:17:04 | INFO     | plugins.text_processing | 注册节点: text.join
